"school","rollno","class","section","name","gender","age","maths","science","city"
"School1",1,12,"B","Laby, Li","M",15,51,84,"Mumbai"
"School2",2,12,"B","Faten","F",17,64,78,"Muscat"
"School2",3,11,"C","James","M",15,72,71,"Dubai"
"School1",4,11,"B","Akhilesh","M",17,96,68,"Chennai"
"School2",5,10,"B","Dhiraj","M",17,89,57,"Dubai"
"School3",6,12,"C","Mayhan, Ventura","F",16,84,94,"Chennai"
"School1",7,12,"B","Angela, Avorque","F",17,51,82,"Mumbai"
"School3",8,10,"A","Nahoa Olelo, Wybenga","M",20,55,51,"Mumbai"
"School3",9,12,"C","Lisa, Valdez","F",18,95,92,"Mumbai"
"School1",10,10,"A","Tyler, Bishop","M",16,96,97,"Muscat"
"School1",11,10,"C","Se Ra, Chang","F",15,100,54,"Mumbai"
"School1",12,11,"C","Tienkieu, Kouns","M",19,58,70,"Dubai"
"School1",13,10,"B","Erinn, Caffery","F",17,72,80,"Muscat"
"School3",14,10,"C","Yichen, Khamsoulinh","F",18,74,85,"Delhi"
"School2",15,10,"C","Michelle, Singh","F",19,64,76,"Mumbai"
"School3",16,10,"B","Jenna, Chang","M",20,71,72,"Dubai"
"School2",17,10,"C","Hideo, Hutchinson","M",19,97,52,"Muscat"
"School1",18,10,"A","Cynthia, Park","F",20,57,64,"Chennai"
"School2",19,12,"B","Jun Raziel, Nguyen","F",18,78,91,"Mumbai"
"School3",20,12,"B","Parisa, Eng","F",20,90,88,"Dubai"
"School2",21,10,"A","Harman, Doan","F",15,70,56,"Dubai"
"School1",22,10,"A","Kevin, Wang","F",15,97,83,"Mumbai"
"School3",23,12,"C","Jota, Wu","M",18,58,80,"Mumbai"
"School3",24,11,"C","Joshua, Raab","M",20,83,67,"Chennai"
"School1",25,11,"C","Alec, Liufau","F",17,90,67,"Dubai"
"School3",26,12,"B","De'Von, Beehler","M",19,92,84,"Muscat"
"School2",27,12,"C","Joshua, Tram","F",16,60,89,"Mumbai"
"School1",28,11,"C","Tess, Bui","M",15,53,95,"Mumbai"
"School3",29,12,"B","Priscilla, Niemeier","M",18,56,58,"Muscat"
"School1",30,12,"C","Nancy, Gaddipati","M",18,99,64,"Chennai"
"School1",31,10,"A","Hoang, Sharma","M",20,60,66,"Dubai"
"School2",32,11,"C","Jeannie, Song","M",18,82,56,"Chennai"
"School3",33,11,"C","Sam, Im","F",17,60,79,"Delhi"
"School3",34,11,"C","Phillip, Vu","F",16,87,57,"Delhi"
"School1",35,11,"B","Sue Lynn, Chandramouli","M",16,70,50,"Dubai"
"School3",36,10,"B","Lucas, Fu","F",17,59,58,"Chennai"
"School1",37,10,"A","Kelly, Tran","M",19,99,84,"Delhi"
"School3",38,11,"A","Medha, Li","M",20,52,74,"Dubai"
"School2",39,11,"C","Katie, Drozdowski","M",18,84,51,"Dubai"
"School1",40,10,"B","Skyeler, Lor","F",17,83,60,"Muscat"
"School2",41,12,"C","Doan, Abo","M",17,89,53,"Muscat"
"School1",42,10,"C","Hy, Bridwell","M",15,77,89,"Mumbai"
"School1",43,12,"A","Justin, Reeves","M",19,62,69,"Muscat"
"School3",44,12,"B","Stephanie, Coates","M",19,57,60,"Chennai"
"School1",45,11,"C","Jin, Long","F",15,51,67,"Delhi"
"School2",46,12,"A","Mckenzie, Hai","M",15,55,63,"Mumbai"
"School1",47,12,"C","Makaila, Dang","F",15,72,52,"Mumbai"
"School1",48,12,"B","Phillip, Park","F",19,66,77,"Chennai"
"School3",49,10,"B","Austin, Shrestha","F",19,81,52,"Delhi"
"School1",50,12,"C","Karun, Miller","M",18,63,95,"Delhi"
"School2",51,10,"A","Sameer, Do","M",16,56,77,"Chennai"
"School1",52,12,"A","Lindsay, Meador","M",20,62,78,"Muscat"
"School3",53,10,"C","Mimi, Tanghal","F",16,57,88,"Muscat"
"School1",54,10,"C","Marc, Pahlavan","F",18,87,72,"Muscat"
"School3",55,11,"B","Jea Goun, Fejeran","M",16,60,64,"Dubai"
"School2",56,11,"C","Christina, Fukui","F",20,91,72,"Mumbai"
"School3",57,10,"C","Anicca, Nguyen","M",15,66,73,"Delhi"
"School2",58,10,"C","Roman, Ertelt","F",17,56,89,"Dubai"
"School2",59,10,"A","Jarred, Ho","M",19,93,82,"Muscat"
"School3",60,12,"A","Malika, Hill","F",17,68,86,"Delhi"
"School2",61,10,"C","Madison, Li","F",15,98,78,"Dubai"
"School2",62,10,"A","Alexander, Yang","F",16,89,98,"Mumbai"
"School3",63,11,"A","David, Tan","F",18,64,55,"Muscat"
"School3",64,10,"C","Lily, Hendricks","F",18,95,74,"Dubai"
"School1",65,10,"B","Lars, Lo","F",15,63,91,"Muscat"
"School2",66,12,"B","Leilani, Her","F",19,75,75,"Delhi"
"School2",67,11,"A","Patricia, Newberry","F",15,76,73,"Muscat"
"School1",68,12,"B","Tuong-Vi, Yang","M",18,66,93,"Dubai"
"School2",69,11,"C","Yuan, Garcia","M",17,82,81,"Mumbai"
"School1",70,12,"A","Shawn, Joy","F",18,99,57,"Delhi"
"School1",71,10,"A","Amber, Tambunan","M",19,67,65,"Delhi"
"School2",72,11,"A","Elise, Mak","M",19,69,88,"Delhi"
"School3",73,11,"A","Sanjana, Smythe","F",20,76,81,"Muscat"
"School3",74,11,"A","Steven, Lew","M",18,91,88,"Muscat"
"School1",75,11,"A","Velma, Shrestha","M",17,59,50,"Chennai"
"School2",76,11,"B","Cheryl, Vang","F",17,58,79,"Delhi"
"School1",77,10,"B","Joanna, Tran","F",16,80,74,"Delhi"
"School2",78,12,"B","Aaron, Pham","M",19,68,92,"Chennai"
"School1",79,11,"C","Nischay, Rafiq","M",19,99,52,"Chennai"
"School3",80,12,"B","Jasmine, Ngo","M",15,67,71,"Chennai"
"School3",81,11,"B","Christine, Le","M",17,93,66,"Dubai"
"School2",82,10,"B","Aleesha, Jordan","M",16,93,69,"Mumbai"
"School3",83,12,"A","Rachelle, Norman","M",17,77,84,"Muscat"
"School1",84,11,"B","Christopher, Reynoso","F",18,70,63,"Delhi"
"School2",85,12,"C","Annabelle, Brabson","F",16,78,86,"Mumbai"
"School2",86,11,"A","Gary, Nichols","F",19,85,99,"Mumbai"
"School3",87,12,"C","Emily, Tran","F",17,69,73,"Mumbai"
"School2",88,12,"C","Khoa, Navalta","M",17,72,79,"Muscat"
"School1",89,11,"C","Connor, Le","F",16,91,57,"Mumbai"
"School3",90,11,"A","Yuzuki, Wu Zheng","M",16,54,69,"Delhi"
"School3",91,11,"C","Sarah, Hubbard","F",18,51,59,"Dubai"
"School3",92,12,"B","April, Lowder","M",16,67,71,"Delhi"
"School2",93,10,"A","Christian, Nguyen","M",20,61,99,"Muscat"
"School2",94,10,"C","Savion, Nguyen","M",15,62,66,"Delhi"
"School3",95,10,"B","Jacklyne, Steiner","F",18,92,58,"Delhi"
"School1",96,12,"B","Thanhtai, Dumon","F",15,100,84,"Muscat"
"School1",97,10,"C","Matthew, Oskarsson","F",19,87,86,"Dubai"
"School3",98,11,"C","Mengyi, Jang","M",16,67,70,"Chennai"
"School2",99,12,"C","Carrena, Erdenebileg","M",19,59,65,"Muscat"
"School2",100,10,"A","Cu Chulainn, Olson","F",16,58,75,"Chennai"
